Transaction Date,Details,Account,Category,Subcategory,Tags,Notes,Debit,Credit,Balance,Original Description
07 Dec 2023,Sample Clothing,Platinum Credit Card,Uncategorised,Uncategorised,,,75.00,,-875.00, SAMPLE CLOTHING 3320 SUBURB 09
20 Dec 2023,Sample Books,Platinum Credit Card,Uncategorised,Uncategorised,,,32.00,,-907.00, SAMPLE BOOKS 1190 SUBURB 06
28 Dec 2023,Payment Received,Platinum Credit Card,Uncategorised,Uncategorised,,,,300.00,-607.00, PAYMENT RECEIVED THANK YOU
07 Jan 2024,Sample Clothing,Platinum Credit Card,Uncategorised,Uncategorised,,,75.00,,-682.00, SAMPLE CLOTHING 3320 SUBURB 09
20 Jan 2024,Sample Books,Platinum Credit Card,Uncategorised,Uncategorised,,,32.00,,-714.00, SAMPLE BOOKS 1190 SUBURB 06
28 Jan 2024,Payment Received,Platinum Credit Card,Uncategorised,Uncategorised,,,,300.00,-414.00, PAYMENT RECEIVED THANK YOU
07 Feb 2024,Sample Clothing,Platinum Credit Card,Uncategorised,Uncategorised,,,75.00,,-489.00, SAMPLE CLOTHING 3320 SUBURB 09
09 Feb 2024,Sample Electronics,Platinum Credit Card,Uncategorised,Uncategorised,,,129.00,,-618.00, SAMPLE ELECTRONICS 8800 SUBURB 03
10 Feb 2024,Sample Electronics,Platinum Credit Card,Uncategorised,Uncategorised,,,129.00,,-747.00, SAMPLE ELECTRONICS 8800 SUBURB 03
20 Feb 2024,Sample Books,Platinum Credit Card,Uncategorised,Uncategorised,,,32.00,,-779.00, SAMPLE BOOKS 1190 SUBURB 06
28 Feb 2024,Payment Received,Platinum Credit Card,Uncategorised,Uncategorised,,,,300.00,-479.00, PAYMENT RECEIVED THANK YOU
