28/05/2026,Balance,8468.76,Current Balance for account A1
28/05/2026,Balance,8468.76,Available Balance for account A1
Transaction Date, Amount, Reference, Balance
03/03/2026,-85.40,POS (Cr) purchase100021_SAMPLE GROCER *METRO,7114.60
05/03/2026,2000.00,DIRECT CREDIT PAYROLL ACME PTY LTD,9114.60
06/03/2026,-800.00,TRANSFER TO SAVER a2,8314.60
08/03/2026,-220.50,BPAY SAMPLE POWER UTILITIES,8094.10
10/03/2026,-130.00,DIRECT DEBIT SAMPLE INSURE,7964.10
12/03/2026,-65.00,POS (Cr) purchase100031_SAMPLE FUEL *PAY AT PUMP,7899.10
14/03/2026,-14.99,DIRECT DEBIT SAMPLE MUSIC,7884.11
15/03/2026,-1800.00,HOME LOAN REPAYMENT b2,6084.11
17/03/2026,-101.20,POS (Cr) purchase100022_SAMPLE GROCER *METRO,5982.91
19/03/2026,2000.00,DIRECT CREDIT PAYROLL ACME PTY LTD,7982.91
21/03/2026,-14.99,DIRECT DEBIT SAMPLE STREAM PLUS,7967.92
24/03/2026,-45.00,POS (Cr) purchase100041_SAMPLE CAFE *CBD,7922.92
28/03/2026,-300.00,PAYMENT TO CREDIT CARD b3,7622.92
03/04/2026,-85.40,POS (Cr) purchase100021_SAMPLE GROCER *METRO,7537.52
05/04/2026,2000.00,DIRECT CREDIT PAYROLL ACME PTY LTD,9537.52
06/04/2026,-800.00,TRANSFER TO SAVER a2,8737.52
08/04/2026,-220.50,BPAY SAMPLE POWER UTILITIES,8517.02
10/04/2026,-130.00,DIRECT DEBIT SAMPLE INSURE,8387.02
12/04/2026,-65.00,POS (Cr) purchase100031_SAMPLE FUEL *PAY AT PUMP,8322.02
14/04/2026,-14.99,DIRECT DEBIT SAMPLE MUSIC,8307.03
15/04/2026,-1800.00,HOME LOAN REPAYMENT b2,6507.03
17/04/2026,-101.20,POS (Cr) purchase100022_SAMPLE GROCER *METRO,6405.83
19/04/2026,2000.00,DIRECT CREDIT PAYROLL ACME PTY LTD,8405.83
21/04/2026,-14.99,DIRECT DEBIT SAMPLE STREAM PLUS,8390.84
24/04/2026,-45.00,POS (Cr) purchase100041_SAMPLE CAFE *CBD,8345.84
28/04/2026,-300.00,PAYMENT TO CREDIT CARD b3,8045.84
03/05/2026,-85.40,POS (Cr) purchase100021_SAMPLE GROCER *METRO,7960.44
05/05/2026,2000.00,DIRECT CREDIT PAYROLL ACME PTY LTD,9960.44
06/05/2026,-800.00,TRANSFER TO SAVER a2,9160.44
08/05/2026,-220.50,BPAY SAMPLE POWER UTILITIES,8939.94
10/05/2026,-130.00,DIRECT DEBIT SAMPLE INSURE,8809.94
12/05/2026,-65.00,POS (Cr) purchase100031_SAMPLE FUEL *PAY AT PUMP,8744.94
14/05/2026,-14.99,DIRECT DEBIT SAMPLE MUSIC,8729.95
15/05/2026,-1800.00,HOME LOAN REPAYMENT b2,6929.95
17/05/2026,-101.20,POS (Cr) purchase100022_SAMPLE GROCER *METRO,6828.75
19/05/2026,2000.00,DIRECT CREDIT PAYROLL ACME PTY LTD,8828.75
21/05/2026,-14.99,DIRECT DEBIT SAMPLE STREAM PLUS,8813.76
24/05/2026,-45.00,POS (Cr) purchase100041_SAMPLE CAFE *CBD,8768.76
28/05/2026,-300.00,PAYMENT TO CREDIT CARD b3,8468.76
